pitch,start_time,end_time,time_diff,note_len
61,118.618128875,118.708457625,0.09032875,0/0
56,118.708457625,118.798786375,0.09032875,0/0
58,118.798786375,118.889115125,0.09032875,0/0
61,118.889115125,118.979443875,0.09032875,0/0
58,118.979443875,119.069772625,0.09032875,0/0
56,119.069772625,119.166916625,0.097144,0/0
58,119.166916625,119.264060625,0.097144,0/0
56,119.354389375,119.444718125,0.09032875,0/0
61,119.444718125,119.535046875,0.09032875,0/0
58,119.535046875,119.625375625,0.09032875,0/0
56,119.625375625,119.715704375,0.09032875,0/0
61,119.715704375,119.806033125,0.09032875,0/0
55,119.896361875,119.986690625,0.09032875,0/0
61,119.986690625,120.077019375,0.09032875,0/0
58,120.077019375,120.167348125,0.09032875,0/0
55,120.167348125,120.257676875,0.09032875,0/0
61,120.257676875,120.348005625,0.09032875,0/0
68,120.348005625,120.439452375,0.09144675,0/0
63,120.439452375,120.530899125,0.09144675,0/0
59,120.530899125,120.622345875,0.09144675,0/0
63,120.622345875,120.713792625,0.09144675,0/0
68,120.713792625,120.811037375,0.09724475,0/0
63,120.811037375,120.908282125,0.09724475,0/0
71,120.908282125,120.999380125,0.091098,0/0
63,120.999380125,121.090843625,0.0914635,0/0
70,121.090843625,121.182307125,0.0914635,0/0
63,121.182307125,121.273770625,0.0914635,0/0
68,121.273770625,121.367450375,0.09367975,0/0
63,121.367450375,121.461130125,0.09367975,0/0
68,121.461130125,121.551497125,0.090367,0/0
63,121.551497125,121.641864125,0.090367,0/0
59,121.641864125,121.732231125,0.090367,0/0
63,121.732231125,121.822598125,0.090367,0/0
68,121.822598125,121.918512125,0.095914,0/0
63,121.918512125,122.014426125,0.095914,0/0
71,122.014426125,122.105889625,0.0914635,0/0
63,122.105889625,122.197353125,0.0914635,0/0
70,122.197353125,122.288816625,0.0914635,0/0
63,122.288816625,122.380280125,0.0914635,0/0
